TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,ANNTIMS,ACTDATS,ACTTIMS,VALUE,CURR_ACT,USFIRM
IBM,45920010,IBM,IBM,2016-12-31,FFO,QTR,2017-01-19,16:08:00,2017-01-19,16:19:18,,USD,1
IBM,45920010,IBM,IBM,2017-03-31,FFO,QTR,2017-04-18,16:06:00,2017-04-18,16:13:26,,USD,1
IBM,45920010,IBM,IBM,2017-06-30,FFO,QTR,2017-07-18,16:06:00,2017-07-18,16:13:15,,USD,1
IBM,45920010,IBM,IBM,2017-09-30,FFO,QTR,2017-10-17,16:11:00,2017-10-17,16:22:39,,USD,1
IBM,45920010,IBM,IBM,2017-12-31,FFO,QTR,2018-01-18,16:05:00,2018-01-18,16:25:16,,USD,1
IBM,45920010,IBM,IBM,2018-03-31,FFO,QTR,2018-04-17,16:08:00,2018-04-17,16:09:00,,USD,1
IBM,45920010,IBM,IBM,2018-06-30,FFO,QTR,2018-07-18,16:03:00,2018-07-18,16:23:07,,USD,1
IBM,45920010,IBM,IBM,2018-09-30,FFO,QTR,2018-10-16,16:07:00,2018-10-16,16:31:14,,USD,1
IBM,45920010,IBM,IBM,2018-12-31,FFO,QTR,2019-01-22,16:07:00,2019-01-22,16:27:22,,USD,1
IBM,45920010,IBM,IBM,2019-03-31,FFO,QTR,2019-04-16,16:05:00,2019-04-16,16:19:03,,USD,1
IBM,45920010,IBM,IBM,2019-06-30,FFO,QTR,2019-07-17,16:12:00,2019-07-17,16:29:15,,USD,1
IBM,45920010,IBM,IBM,2019-09-30,FFO,QTR,2019-10-16,16:09:00,2019-10-16,16:23:40,,USD,1
IBM,45920010,IBM,IBM,2019-12-31,FFO,QTR,2020-01-21,16:04:00,2020-01-21,16:43:31,,USD,1
IBM,45920010,IBM,IBM,2020-03-31,FFO,QTR,2020-04-20,16:08:00,2020-04-20,16:39:39,,USD,1
IBM,45920010,IBM,IBM,2020-06-30,FFO,QTR,2020-07-20,16:05:00,2020-07-20,16:22:39,,USD,1
IBM,45920010,IBM,IBM,2020-09-30,FFO,QTR,2020-10-19,16:12:00,2020-10-19,16:33:40,,USD,1
IBM,45920010,IBM,IBM,2020-12-31,FFO,QTR,2021-01-21,16:16:00,2021-01-21,16:43:39,,USD,1
IBM,45920010,IBM,IBM,2021-03-31,FFO,QTR,2021-04-19,16:08:00,2021-04-19,16:30:57,,USD,1
IBM,45920010,IBM,IBM,2021-06-30,FFO,QTR,2021-07-19,16:08:00,2021-07-19,16:29:59,,USD,1
IBM,45920010,IBM,IBM,2021-09-30,FFO,QTR,2021-10-20,16:08:00,2021-10-20,16:34:51,,USD,1
IBM,45920010,IBM,IBM,2021-12-31,FFO,QTR,2022-01-24,16:08:00,2022-01-24,17:03:58,,USD,1
IBM,45920010,IBM,IBM,2022-03-31,FFO,QTR,2022-04-19,16:08:00,2022-04-19,16:36:18,,USD,1
IBM,45920010,IBM,IBM,2022-06-30,FFO,QTR,2022-07-18,16:08:00,2022-07-18,16:32:21,,USD,1
IBM,45920010,IBM,IBM,2022-09-30,FFO,QTR,2022-10-19,16:08:00,2022-10-19,16:25:53,,USD,1
IBM,45920010,IBM,IBM,2022-12-31,FFO,QTR,2023-01-25,16:08:00,2023-01-25,16:46:59,,USD,1
IBM,45920010,IBM,IBM,2023-03-31,FFO,QTR,2023-04-19,16:08:00,2023-04-19,16:32:22,,USD,1
IBM,45920010,IBM,IBM,2023-06-30,FFO,QTR,2023-07-19,16:08:00,2023-07-19,16:29:09,,USD,1
IBM,45920010,IBM,IBM,2023-09-30,FFO,QTR,2023-10-25,16:08:00,2023-10-25,16:53:48,,USD,1
IBM,45920010,IBM,IBM,2023-12-31,FFO,QTR,2024-01-24,16:10:00,2024-01-24,16:32:20,,USD,1
IBM,45920010,IBM,IBM,2024-03-31,FFO,QTR,2024-04-24,16:08:00,2024-06-07,6:29:43,,USD,1
IBM,45920010,IBM,IBM,2024-06-30,FFO,QTR,2024-07-24,16:08:00,2024-07-24,16:31:02,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2000-03-31,GPS,QTR,2000-04-18,16:16:00,2000-04-18,16:16:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2000-06-30,GPS,QTR,2000-07-19,16:26:00,2000-07-19,16:26:00,,USD,1
